id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
2763,335,Morpheus.Network,MNW,morpheus-network,1,2018-05-22T17:04:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4'}"
2764,3732,Silent Notary,UBSN,silent-notary,1,2018-05-22T17:39:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x86EFc496DcA70bcFD92D19194290e8457a375773'}"
2765,373,XYO,XYO,xyo,1,2018-05-22T17:04:27.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x55296f69f40ea6d20e478533c15a6b08b654e758'}"
2771,1955,RED,RED,red,1,2018-05-23T19:44:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x76960dccd5a1fe799f7c29be9f19ceb4627aeb2f'}"
2772,6043,Digitex Games,DGTX,digitex,1,2018-05-23T19:44:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc666081073e8dff8d3d1c2292a29ae1a2153ec09'}"
2776,540,Travala.com,AVA,travala,1,2018-05-28T19:44:41.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x442b153f6f61c0c99a33aa4170dcb31e1abda1d0'}"
2777,131,IoTeX,IOTX,iotex,1,2018-05-25T15:49:26.000Z,2023-06-07T04:29:00.000Z,
2780,274,NKN,NKN,nkn,1,2018-05-28T19:44:41.000Z,2023-06-07T04:29:00.000Z,
2827,701,Phantasma,SOUL,phantasma,1,2018-05-28T19:44:42.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x75858677e27C930FB622759FeafFeE2b754Af07F'}"
2828,2346,SPINDLE,SPD,spindle,1,2018-05-28T19:44:41.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1dEa979ae76f26071870F824088dA78979eb91C8'}"
2830,2305,Seele-N,SEELE,seele,1,2018-05-31T21:39:41.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb1e93236ab6073fdac58ada5564897177d4bcc43'}"
2837,1457,0xBitcoin,0xBTC,0xbtc,1,2018-06-04T15:14:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb6ed7644c69416d67b522e20bc294a9a9b405b31'}"
2838,1169,Plian,PI,pchain,1,2018-06-04T15:14:49.000Z,2023-06-07T04:29:00.000Z,
2840,355,QuarkChain,QKC,quarkchain,1,2018-06-04T16:59:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664'}"
2846,8694,FuturoCoin,FTO,futurocoin,1,2018-06-07T22:59:49.000Z,2023-06-07T04:29:00.000Z,
2847,1077,Abyss,ABYSS,abyss,1,2018-06-07T22:59:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6'}"
2855,1291,CBC.network,CBC,cbc-network,1,2018-06-11T23:14:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x26DB5439F651CAF491A87d48799dA81F191bDB6b'}"
2856,356,CEEK VR,CEEK,ceek-vr,1,2018-06-11T23:14:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb056c38f6b7dc4064367403e26424cd2c60655e1'}"
2859,1847,XMax,XMX,xmax,1,2018-06-15T03:49:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0f8c45b896784a1e408526b9300519ef8660209c'}"
2861,847,GoChain,GO,gochain,1,2018-06-13T20:49:50.000Z,2023-06-07T04:29:00.000Z,
2862,2225,Smartshare,SSP,smartshare,1,2018-06-15T03:49:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x624d520bab2e4ad83935fa503fb130614374e850'}"
2866,546,Sentinel Protocol,UPP,sentinel-protocol,1,2018-06-18T15:34:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc86d054809623432210c107af2e3f619dcfbf652'}"
2868,430,Constellation,DAG,constellation,1,2018-06-20T19:59:49.000Z,2023-06-07T04:29:00.000Z,
2869,2175,Merculet,MVP,merculet,1,2018-06-20T19:59:49.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8a77e40936bbc27e80e9a3f526368c967869c86d'}"
2870,233,FantasyGold,FGC,fantasygold,1,2018-06-20T19:59:49.000Z,2023-06-07T04:29:00.000Z,
2873,580,Metronome,MET,metronome,1,2018-06-26T17:39:30.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa'}"
2874,1235,Aurora,AOA,aurora,1,2018-06-26T17:39:30.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9ab165d795019b6d8b3e971dda91071421305e5a'}"
2876,8004,Ternio,TERN,ternio,1,2018-06-27T19:54:34.000Z,2023-06-07T04:29:00.000Z,
2878,3533,DigiFinexToken,DFT,digifinextoken,1,2018-06-27T19:54:34.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa2a54f1ec1f09316ef12c1770d32ed8f21b1fb6a'}"
2882,876,Zus,ZCN,0chain,1,2018-07-02T20:34:03.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb9ef770b6a5e12e45983c5d80545258aa38f3b78'}"
2883,2404,ZINC,ZINC,zinc,1,2018-07-04T03:14:02.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4aac461c86abfa71e9d00d9a2cde8d74e4e1aeea'}"
2885,1354,Egretia,EGT,egretia,1,2018-07-02T20:34:03.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8e1b448ec7adfc7fa35fc2e885678bd323176e34'}"
2889,1518,Bob's Repair,BOB,bobs-repair,1,2018-07-03T21:49:03.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdf347911910b6c9a4286ba8e2ee5ea4a39eb2134'}"
2890,2152,KanadeCoin,KNDC,kanadecoin,1,2018-07-03T21:49:03.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8E5610ab5E39d26828167640EA29823fe1dD5843'}"
2891,1051,Cardstack,CARD,cardstack,1,2018-07-03T21:49:03.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x954b890704693af242613edef1b603825afcd708'}"
2894,4964,OTCBTC Token,OTB,otcbtc-token,1,2018-07-05T18:24:07.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa86a0da9d05d0771955df05b44ca120661af16de'}"
2896,349,Hifi Finance (Old),MFT,mainframe,1,2018-07-05T16:19:04.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdf2c7238198ad8b389666574f2d8bc411a4b7428'}"
2901,2209,FansTime,FTI,fanstime,1,2018-07-06T20:49:06.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x943ed852dadb5c3938ecdc6883718df8142de4c8'}"
2906,1545,Essentia,ESS,essentia,1,2018-07-06T20:49:07.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xfc05987bd2be489ACCF0f509E44B0145d68240f7'}"
2907,8750,Karatgold Coin,KBC,karatgold-coin,1,2018-07-06T20:49:07.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a'}"
2908,2217,HashCoin,HSC,hashcoin,1,2018-07-10T01:04:18.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2bba3cf6de6058cc1b4457ce00deb359e2703d7f'}"
2909,1220,LikeCoin,LIKE,likecoin,1,2018-07-10T01:04:18.000Z,2023-06-07T04:29:00.000Z,"{'id': 3794, 'name': 'Cosmos', 'symbol': 'ATOM', 'slug': 'cosmos', 'token_address': 'IBC/9989AD6CCA39D1131523DB0617B50F6442081162294B4795E26746292467B525'}"
2912,1198,TENT,TENT,tent,1,2018-07-10T01:04:18.000Z,2023-06-07T04:29:00.000Z,
2913,1527,Databroker,DTX,databroker,1,2018-07-11T03:49:23.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x765f0c16d1ddc279295c1a7c24b0883f62d33f75'}"
2915,508,Moss Coin,MOC,moss-coin,1,2018-07-11T03:49:23.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x865ec58b06bf6305b886793aa20a2da31d034e68'}"
2916,684,Nimiq,NIM,nimiq,1,2018-07-26T15:04:30.000Z,2023-06-07T04:29:00.000Z,
2921,1160,OneLedger,OLT,oneledger,1,2018-07-12T16:14:24.000Z,2023-06-07T04:29:00.000Z,
2927,385,sUSD,SUSD,susd,1,2018-07-13T16:04:20.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x57Ab1ec28D129707052df4dF418D58a2D46d5f51'}"
2930,342,IQ,IQ,iq,1,2018-07-13T20:04:15.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x579cea1889991f68acc35ff5c3dd0621ff29b0c9'}"
2933,619,BitMart Token,BMX,bitmart-token,1,2018-07-13T22:54:17.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8'}"
2934,731,BitKan,KAN,bitkan,1,2018-07-30T18:39:23.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1410434b0346f5be678d0fb554e5c7ab620f8f4a'}"
2937,646,VITE,VITE,vite,1,2018-07-18T01:34:15.000Z,2023-06-07T04:29:00.000Z,
2938,2084,Hashgard,GARD,hashgard,1,2018-07-18T01:34:14.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5c64031c62061865e5fd0f53d3cdaef80f72e99d'}"
2941,549,CoinEx Token,CET,coinex-token,1,2018-10-23T23:49:28.000Z,2023-06-07T04:29:00.000Z,
